wld_rgn,n_fuas,totalGDP_bnUSD,exDmg_bnUSD,exDmg_share_pct,exDmg_pctGDP,exDmg_pros_bnUSD,exDmg_pros_share_pct,exDmg_pros_pctGDP,exInunD_bnUSD,exInunD_share_pct,exInunD_pctGDP,exInunD_pros_bnUSD,exInunD_pros_share_pct,exInunD_pros_pctGDP
E Asia,144,19565.3282,296.45,67.0712,1.5152,45.803,52.9898,0.2341,119.3808,61.418,0.6102,22.0236,49.0879,0.1126
SE Asia,52,4824.3148,30.9434,7.0009,0.6414,11.2028,12.9605,0.2322,13.2071,6.7947,0.2738,5.6192,12.5245,0.1165
Europe,70,15201.4361,26.8852,6.0827,0.1769,1.91,2.2097,0.0126,15.7431,8.0994,0.1036,1.2403,2.7644,0.0082
S Asia,123,4627.126,24.1627,5.4668,0.5222,12.7412,14.7404,0.2754,13.2472,6.8153,0.2863,7.1413,15.9172,0.1543
N America,61,17459.583,20.5653,4.6529,0.1178,1.2395,1.434,0.0071,10.9497,5.6333,0.0627,0.7586,1.6909,0.0043
SW Asia,39,5123.7117,14.3601,3.2489,0.2803,4.6517,5.3816,0.0908,6.4812,3.3344,0.1265,2.3714,5.2856,0.0463
Africa,66,2774.3586,12.1867,2.7572,0.4393,6.091,7.0467,0.2195,8.1176,4.1763,0.2926,4.2441,9.4597,0.153
S America,46,3515.028,9.7606,2.2083,0.2777,1.8211,2.1068,0.0518,3.6984,1.9027,0.1052,0.8482,1.8905,0.0241
C Asia,20,3020.9282,5.1927,1.1748,0.1719,0.7743,0.8958,0.0256,2.7559,1.4178,0.0912,0.4959,1.1054,0.0164
Oceania,6,1140.6748,1.4065,0.3182,0.1233,0.1562,0.1807,0.0137,0.7651,0.3936,0.0671,0.105,0.2341,0.0092
C America,6,263.2017,0.0797,0.018,0.0303,0.0465,0.0538,0.0177,0.0282,0.0145,0.0107,0.0179,0.0399,0.0068
