eFUA_name,Cntry_name,height_mean,flopros_merge_mean,totalGDP_usd,exDmg_mean,exDmg_pros_mean,exInunD_mean,exInunD_pros_mean,exDmg_sum,exDmg_pros_sum,avoided_fd_usd,avoided_fd_pctGDP,exInunD_sum,exInunD_pros_sum,avoided_ir_usd,avoided_ir_pctGDP
Wuhan,China,8.792779753503421,100.0,309001402644.1711,0.0884717113685608,0.0101209821317292,0.0687479342641031,0.0083838330485295,6303780273.960752,759477712.4855944,5544302561.475157,1.7942645289088441,2786105990.992583,377945137.7016235,2408160853.2909594,0.7793365443276205
Bangkok,Thailand,6.5709629573141095,28.28272261257146,658839544259.9434,0.0526718170787609,0.0185568396914621,0.03512627451271,0.0131261786472993,14116583904.276093,3219082655.582953,10897501248.69314,1.6540448040249327,4647124871.72601,1245901228.482519,3401223643.243491,0.5162446111312268
Shanghai,China,8.27523867116501,179.35185589987492,1398139152992.0935,0.0735848807736198,0.0098028419364705,0.0525508668925935,0.0076974974282563,57454189887.89438,7403198773.178625,50050991114.71575,3.5798290182778962,20047910984.368835,3206827897.472047,16841083086.89679,1.2045355464694598
Dhaka,Bangladesh,4.152289674265079,50.0,256048298747.4582,0.0759411477203553,0.0415362827875601,0.0753780946133324,0.0414170497150115,5533401058.947747,3007761315.07044,2525639743.8773074,0.9863919253641905,4078911522.334036,2237338458.769957,1841573063.5640788,0.7192287832306327
Ho Chi Minh City,Vietnam,5.940480705077603,7.786792416120107,262928776790.5894,0.0617686545083029,0.0617805756964533,0.0537194331237112,0.0534966471199389,1913257081.5102572,1896603364.3874984,16653717.122758865,0.006333927128875201,929886634.016716,920639662.9366466,9246971.080069423,0.0035169110026454834
Mandalay,Myanmar,5.067395373003592,2.7442388222502307,21550895803.48038,0.0796138723859692,0.0796138723859692,0.0740626851079379,0.0740626851079379,26303359.981708787,26303359.981708787,0.0,0.0,22973896.501955826,22973896.501955826,0.0,0.0
Hanoi,Vietnam,4.28128902670692,62.54120728192811,133901688920.58018,0.0650592504096358,0.0488662238801033,0.0557825051585423,0.0413709468783883,3302229814.7130404,2216977027.123504,1085252787.5895362,0.8104847641116921,1791415492.610315,1221920480.717196,569495011.8931191,0.4253083112572973
Phnom Penh,Cambodia,5.403185680271609,15.421638573622284,19821448490.161285,0.0708167094328071,0.0431111787928624,0.0558154970291457,0.0312275500320023,434692969.34850097,145241718.93164873,289451250.41685224,1.4602931292358694,241186531.48723868,95807481.909861,145379049.57737768,0.7334431166800905
