wld_rgn,FD,IR,FD_P,IR_P
Africa,6.6869,9.3719,12.2902,16.2609
C America,12.2287,9.7686,19.092,15.1925
C Asia,6.171,5.9126,10.05,9.401
E Asia,9.6647,9.7336,6.9068,7.2817
Europe,7.4363,10.0659,2.564,3.6954
N America,9.0191,9.8744,3.1624,3.4827
Oceania,10.6116,8.4168,1.3108,1.1132
S America,11.8583,9.436,12.2121,9.9152
S Asia,9.7001,10.3734,15.1957,15.7624
SE Asia,9.0927,9.5441,10.1124,11.0694
SW Asia,7.5307,7.5027,7.1036,6.8256
