metric,JRC,WSF3D,GBH2020,between_dataset_CV_pct
Building height (m),5.9131077048593905,5.444273017696463,9.465193213971094,25.864339845548074
FD-AED (%),5.748450845999345,5.748691255075784,5.7486912550757845,0.0019714314141645686
IR-AED (%),4.80534727202743,0.8677861315356155,2.4598524866764784,59.65639166829444
